geography_id,geography_type,locality_code,district_code,geography_name_he,geography_name_en,district_he,district_en,population_approx,source,is_active
DIST_CENTER,district,,CENTER,מחוז המרכז,Center District,מחוז המרכז,Center,,cbs_table49,true
DIST_HAIFA,district,,HAIFA,מחוז חיפה,Haifa District,מחוז חיפה,Haifa,,cbs_table49,true
DIST_JER,district,,JERUSALEM,מחוז ירושלים,Jerusalem District,מחוז ירושלים,Jerusalem,,cbs_table49,true
DIST_NORTH,district,,NORTH,מחוז הצפון,North District,מחוז הצפון,North,,cbs_table49,true
DIST_SOUTH,district,,SOUTH,מחוז הדרום,South District,מחוז הדרום,South,,cbs_table49,true
DIST_TA,district,,TEL_AVIV,מחוז תל אביב,Tel Aviv District,מחוז תל אביב,Tel Aviv,,cbs_table49,true
10,locality,10,,תירוש,TIROSH,ירושלים,Jerusalem,,data.gov.il,true
1015,locality,1015,,מבשרת ציון,MEVASSERET ZIYYON,ירושלים,Jerusalem,,data.gov.il,true
102,locality,102,,מאיר שפיה,ME'IR SHEFEYA,חיפה,Haifa,,data.gov.il,true
1020,locality,1020,,אור עקיבא,OR AQIVA,חיפה,Haifa,,data.gov.il,true
1024,locality,1024,,חרוצים,HARUZIM,המרכז,Center,,data.gov.il,true
103,locality,103,,תל עדשים,TEL ADASHIM,הצפון,North,,data.gov.il,true
1031,locality,1031,,שדרות,SEDEROT,הדרום,South,,data.gov.il,true
1034,locality,1034,,קרית מלאכי,QIRYAT MAL'AKHI,הדרום,South,,data.gov.il,true
104,locality,104,,מזרע,MIZRA,הצפון,North,,data.gov.il,true
1041,locality,1041,,נצאצרה (שבט),NASASRA,הדרום,South,,data.gov.il,true
1042,locality,1042,,אבו עמאר (שבט),ABU AMMAR,הדרום,South,,data.gov.il,true
1043,locality,1043,,גיזו,GIZO,ירושלים,Jerusalem,,data.gov.il,true
1044,locality,1044,,יעף,YE'AF,המרכז,Center,,data.gov.il,true
1045,locality,1045,,שתולה,SHETULA,הצפון,North,,data.gov.il,true
1046,locality,1046,,אוהד,OHAD,הדרום,South,,data.gov.il,true
1047,locality,1047,,חזון,HAZON,הצפון,North,,data.gov.il,true
1050,locality,1050,,בית חשמונאי,BET HASHMONAY,המרכז,Center,,data.gov.il,true
1051,locality,1051,,תלמי אליהו,TALME ELIYYAHU,הדרום,South,,data.gov.il,true
1052,locality,1052,,קטורה,QETURA,הדרום,South,,data.gov.il,true
1053,locality,1053,,עין חצבה,EN HAZEVA,הדרום,South,,data.gov.il,true
1054,locality,1054,,תל שבע,TEL SHEVA,הדרום,South,,data.gov.il,true
1056,locality,1056,,עין כרם-ביס חקלאי,EN KAREM-B.S.HAQLA'I,ירושלים,Jerusalem,,data.gov.il,true
1057,locality,1057,,נווה זוהר,NEWE ZOHAR,הדרום,South,,data.gov.il,true
1058,locality,1058,,שדה ניצן,SEDE NIZZAN,הדרום,South,,data.gov.il,true
1059,locality,1059,,כסיפה,KUSEIFE,הדרום,South,,data.gov.il,true
106,locality,106,,כפר גדעון,KEFAR GID'ON,הצפון,North,,data.gov.il,true
1060,locality,1060,,לקיה,LAQYE,הדרום,South,,data.gov.il,true
1061,locality,1061,,נוף הגליל,NOF HAGALIL,הצפון,North,,data.gov.il,true
1063,locality,1063,,מעלות-תרשיחא,MA'ALOT-TARSHIHA,הצפון,North,,data.gov.il,true
1064,locality,1064,,אמירים,AMIRIM,הצפון,North,,data.gov.il,true
1065,locality,1065,,זמרת,ZIMRAT,הדרום,South,,data.gov.il,true
1066,locality,1066,,בני עיש,BENE AYISH,המרכז,Center,,data.gov.il,true
1067,locality,1067,,דובב,DOVEV,הצפון,North,,data.gov.il,true
1068,locality,1068,,אדמית,ADAMIT,הצפון,North,,data.gov.il,true
1069,locality,1069,,רם-און,RAM-ON,הצפון,North,,data.gov.il,true
107,locality,107,,כפר סילבר,KEFAR SILVER,הדרום,South,,data.gov.il,true
1070,locality,1070,,אביעזר,AVI'EZER,ירושלים,Jerusalem,,data.gov.il,true
1071,locality,1071,,נווה מיכאל,NEWE MIKHA'EL,ירושלים,Jerusalem,,data.gov.il,true
1072,locality,1072,,גן הדרום,GAN HADAROM,המרכז,Center,,data.gov.il,true
1076,locality,1076,,בית ברל,BET BERL,המרכז,Center,,data.gov.il,true
1077,locality,1077,,גבעת שפירא,GIV'AT SHAPPIRA,המרכז,Center,,data.gov.il,true
1079,locality,1079,,צפרירים,ZAFRIRIM,ירושלים,Jerusalem,,data.gov.il,true
1080,locality,1080,,מבועים,MABBU'IM,הדרום,South,,data.gov.il,true
